id_expansion,expansion_code,name,release_date,code_source,n_singles
5315,,Clay Burst,2023-03-21,,99
6313,,CSM2.5C: Striking Competition,2024-11-14,,99
1542,MA,EX Team Magma vs Team Aqua,0000-00-00,tcg,98
4467,,Challenge from the Darkness,2022-01-06,,98
5621,,Scarlet & Violet Battle Academy,2024-02-02,,98
1568,UD,Undaunted,0000-00-00,tcg,97
4024,,Bandit Ring,2021-03-18,,97
4044,,Phantom Gate,2021-03-18,,97
6442,,Simplified Chinese Scarlet & Violet Battle Academy,2026-01-08,,97
6635,,CSVM2aC: Master Strategy Deck Building Set - Raging Bolt ex,2026-07-02,,97
1550,LM,EX Legend Maker,0000-00-00,tcg,96
1753,,,2026-02-07,,96
2393,,,2026-01-08,,96
3751,,Matchless Fighters Limited,2021-02-19,,96
4297,,Galactic's Conquest,2021-05-26,,96
4466,,Leaders' Stadium,2022-01-06,,96
4506,,"Gold, Silver, to a New World...",2022-01-03,,96
5636,,Crimson Haze,2024-02-19,,96
6247,,CS6.5C: Victory Star Guide,2024-11-13,,96
6288,,CS1.5C: Dynamax Tactics,2024-07-24,,96
1755,,,2026-01-28,,95
2027,,WCD 2008: Bliss Control Deck,2026-01-28,,95
4171,,Silver Lance,2021-04-01,,95
4172,,Jet Black Spirit,2021-04-01,,95
5478,,Ancient Roar,2023-09-12,,95
5479,,Future Flash,2023-09-12,,95
2029,,,2026-01-20,,94
2396,,,2025-12-16,,94
3384,,Legendary Heartbeat,2020-07-10,,94
5127,,Incandescent Arcana,2022-07-29,,94
5757,,Night Wanderer,2024-05-10,,94
5846,,Paradise Dragona,2024-08-02,,94
2351,DRM,Dragon Majesty,2018-07-19,tcg,93
2394,,,2026-01-09,,93
4441,,Battle Region,2022-02-21,,93
2739,,WCD 2019: Fire Box,2019-10-10,,92
4302,,Intense Fight in the Destroyed Sky,2021-05-28,,92
5022,,The Town on No Map,2022-03-24,,92
5432,,Raging Surf,2023-08-08,,92
6037,,Heat Wave Arena,2025-02-07,,92
6189,,Mega Brave,2025-06-30,,92
6190,,Mega Symphonia,2025-06-30,,92
6335,,CSVH1C: Simplified Chinese Happy Card Set,2025-01-03,,92
1842,SLG,Shining Legends,2017-08-25,tcg,91
2107,,Worlds 2022 Blue Pikachu Coin,0000-00-00,,91
3697,,Rapid Strike Master,2021-01-22,,91
3712,,Single Strike Master,2021-01-22,,91
4029,,Emerald Break,2021-03-18,,91
5024,,Split Earth,2022-03-24,,91
5025,,Mysterious Mountains,2022-03-24,,91
5723,,Grass Quick Construction Pack,2024-04-08,,91
2395,,,2026-01-26,,90
4054,,Wild Blaze,2021-03-18,,90
4280,,Advent of Arceus,2021-05-26,,90
4289,,Bonds to the End of Time,2021-05-26,,90
4329,,Towering Perfection,2021-06-11,,90
4330,,Blue Sky Stream,2021-06-11,,90
5023,,Wind from the Sea,2022-03-24,,90
6265,,CS3.5C: Scorching Skies,2024-07-24,,90
1754,,,2026-02-06,,89
4009,,Rage of the Broken Heavens,2021-03-18,,89
6248,,CS5.5C: Shadow of Glory,2024-08-02,,89
2744,,,2026-01-23,,88
2749,,,2026-01-23,,88
4004,,Awakening Psychic King,2021-03-18,,88
4973,,Time Gazer,2022-03-04,,88
4974,,Space Juggler,2022-03-04,,88
