archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;average_count_overall;total_decks_in_archetype;percentage_in_archetype;set_code;set_number;rarity;type;image_url;is_ace_spec;meta
Erika's Victreebel;Enhanced Hammer;TWM 148;3;3;1;3,0;0,15;20;5,0;TWM;148;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_148_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Pokégear 3.0;SVI 186;5;3;2;2,5;0,25;20;10,0;SVI;186;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_186_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Night Stretcher;ASC 196;2;2;1;2,0;0,1;20;5,0;ASC;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Buddy-Buddy Poffin;TEF 144;2;2;1;2,0;0,1;20;5,0;TEF;144;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_144_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Maximum Belt;TEF 154;1;1;1;1,0;0,05;20;5,0;TEF;154;Ultra Rare;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_154_R_EN_LG.png;No;Meta Live
Okidogi Barbaracle;Okidogi;TWM 111;56;4;18;3,11;3,11;18;100,0;TWM;111;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_111_R_EN_LG.png;No;Meta Live
Okidogi Barbaracle;Binacle;POR 42;36;2;18;2,0;2,0;18;100,0;POR;42;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_042_R_EN_LG.png;No;Meta Live
Okidogi Barbaracle;Barbaracle;POR 43;36;2;18;2,0;2,0;18;100,0;POR;43;Uncommon;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_043_R_EN_LG.png;No;Meta Live
Okidogi Barbaracle;Lunatone;MEG 74;36;2;18;2,0;2,0;18;100,0;MEG;74;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_074_R_EN_LG.png;No;Meta Live
Okidogi Barbaracle;Solrock;MEG 75;48;3;18;2,67;2,67;18;100,0;MEG;75;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_075_R_EN_LG.png;No;Meta Live
Okidogi Barbaracle;Psyduck;ASC 39;3;1;3;1,0;0,17;18;16,67;ASC;39;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_039_R_EN_LG.png;No;Meta Live
Okidogi Barbaracle;Hawlucha;POR 46;2;1;2;1,0;0,11;18;11,11;POR;46;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_046_R_EN_LG.png;No;Meta Live
